Id,Start time,Completion time,Email,Name,"How many hours per week did you study on average? (please try and be as accurate as possible and just type the number. examples: 5, 9, 1, etc.)","What is the percentage of lectures you attended? (please try and be as accurate as possible, just type the number. examples: 35, 60, 55, etc.)","What was your prior cumulative before the semester that you took this class? (please try and be as accurate as possible. examples: 3.25, 3.00, 2.14, etc.)","Rate the class difficulty from (Easy = 1, Medium =  2, Hard = 3)
","True or False, were you in any type of study group for the class?","What was your Test 1 score? (please try and be accurate. just type the number. examples: 80, 60, 42, etc.)",How confident were you when you took Test 1? ,"What was your Test 2 score? (please try and be accurate. just type the number. examples: 80, 60, 42, etc.)",How confident were you when you took Test 2? ,"Final Grade in Class? (please try and be accurate. just type the number. examples: 70, 88, 61, etc.)"
1,1/19/2026 0:37,1/19/2026 0:38,anonymous,,forgot ngl,prolly like 50 ish,3.00,2 = Medium,False,like uh 65,5,57,3,59
2,1/19/2026 0:38,1/19/2026 0:39,anonymous,,6,89,3.46,2 = Medium,True,83,2,89,9,100
3,1/19/2026 0:39,1/19/2026 0:41,anonymous,,3,60,3.54,3 = Hard,False,70,2,88,8,77
4,1/19/2026 0:41,1/19/2026 0:44,anonymous,,12,76,2.15,3 = Hard,False,67,7,65,5,90
5,1/19/2026 0:44,1/19/2026 0:46,anonymous,,14,80,2.72,1 = Easy,True,95,6,94,1,100
6,1/19/2026 12:50,1/19/2026 12:52,anonymous,,10,52,2.23,2 = Medium,True,97,3,96,7,93
7,1/19/2026 12:52,1/19/2026 12:54,anonymous,,7,80,3.73,2 = Medium,False,99,9,83,5,100
8,1/19/2026 12:54,1/19/2026 12:55,anonymous,,12,59,3.25,1 = Easy,True,79,10,88,6,89
9,1/19/2026 12:55,1/19/2026 12:57,anonymous,,0,0,idk,2 = Medium,False,idk,5,60,5,54
10,1/19/2026 12:57,1/19/2026 12:59,anonymous,,didn't even study fr lol,came only on tests,3.01,2 = Medium,False,58,3,"ngl did so bad, don't even wanna say",0,44
11,1/19/2026 12:59,1/19/2026 13:03,anonymous,,prolly like half an hour frfr,30,2.61,3 = Hard,False,50,3,58,5,50
12,1/19/2026 13:03,1/19/2026 13:05,anonymous,,4,53,2.66,1 = Easy,True,94,6,90,7,100
13,1/19/2026 13:05,1/19/2026 13:06,anonymous,,6,97,2.13,2 = Medium,False,84,10,94,3,98
14,1/19/2026 13:06,1/19/2026 13:19,anonymous,,9,98,2.62,3 = Hard,False,94,10,92,10,100
15,1/19/2026 13:19,1/19/2026 13:22,anonymous,,2,90,2.65,2 = Medium,True,84,6,80,3,91
16,1/19/2026 13:22,1/19/2026 13:23,anonymous,,6,65,3.46,2 = Medium,False,88,1,91,5,91
17,1/19/2026 13:23,1/19/2026 13:42,anonymous,,10,55,3.28,2 = Medium,False,77,4,82,6,100
18,1/19/2026 13:42,1/19/2026 13:45,anonymous,,10,84,3.77,2 = Medium,True,77,10,92,9,100
19,1/19/2026 13:45,1/19/2026 13:46,anonymous,,7,72,2.94,3 = Hard,False,61,6,62,5,86
20,1/19/2026 13:46,1/19/2026 13:47,anonymous,,4,56,2.24,3 = Hard,False,94,6,77,1,81
21,1/19/2026 13:47,1/19/2026 13:50,anonymous,,3,75,3.43,1 = Easy,True,75,5,84,4,92
22,1/19/2026 13:50,1/19/2026 13:51,anonymous,,7,52,3.52,2 = Medium,True,95,1,90,5,98
23,1/19/2026 13:51,1/19/2026 13:52,anonymous,,7,95,3.12,2 = Medium,False,92,8,62,10,100
24,1/19/2026 13:52,1/19/2026 13:53,anonymous,,2,63,3.54,1 = Easy,False,63,5,99,10,100
25,1/19/2026 13:53,1/19/2026 13:54,anonymous,,5,83,2.99,1 = Easy,True,92,5,83,5,100.0
26,1/19/2026 13:54,1/19/2026 13:56,anonymous,,4,66,3.05,2 = Medium,True,73,7,91,7,100
