Hours Studied Per Week,Attendance Rate For Semester (Out of 1.00/100%),Prior Cumulative GPA (Out of 4.0),"Class Difficulty (Easy = 1, Medium =  2, Hard = 3)","Study Group (1 = True, 0 = False)",Test 1 Score (Out of 100%),Test 2 Score (Out of 100%),Test 1 Confidence (1 to 10),Test 2 Confidence (1 to 10),Final Grade (Out of 100.0%)
6,0.89,3.46,2,1,83,89,2,9,100.0
3,0.6,3.54,3,0,70,88,2,8,77.0
12,0.76,2.15,3,0,67,65,7,5,90.0
14,0.8,2.72,1,1,95,94,6,1,100.0
10,0.52,2.23,2,1,97,96,3,7,100.0
7,0.8,3.73,2,0,99,83,9,5,100.0
12,0.59,3.25,1,1,79,88,10,6,100.0
4,0.53,2.66,1,1,94,90,6,7,100.0
6,0.97,2.13,2,0,84,94,10,3,98.0
9,0.98,2.62,3,0,94,92,10,10,100.0
2,0.9,2.65,2,1,84,80,6,3,91.0
6,0.65,3.46,2,0,88,91,1,5,91.0
10,0.55,3.28,2,0,77,82,4,6,100.0
10,0.84,3.77,2,1,77,92,10,9,100.0
7,0.72,2.94,3,0,61,62,6,5,86.0
4,0.56,2.24,3,0,94,77,6,1,81.0
3,0.75,3.43,1,1,75,84,5,4,92.0
7,0.52,3.52,2,1,95,90,1,5,98.0
7,0.95,3.12,2,0,92,62,8,10,100.0
2,0.63,3.54,1,0,63,99,5,10,100.0
5,0.83,2.99,1,1,92,83,5,5,100.0
4,0.66,3.05,2,1,73,91,7,7,100.0
1,0.76,2.86,2,1,80,81,4,4,91.0
7,0.77,2.05,1,1,79,82,6,1,90.0
11,0.59,2.22,1,0,67,61,4,5,90.0
13,0.98,2.06,3,1,66,86,3,7,100.0
5,0.89,3.27,1,1,62,61,7,10,100.0
1,0.97,2.63,1,0,76,85,8,10,100.0
15,0.95,3.02,2,1,92,76,4,6,100.0
11,0.8,3.82,3,0,71,99,2,5,100.0
4,0.96,2.5,1,1,81,92,10,4,100.0
0,0.54,2.82,2,1,81,68,3,2,72.0
11,0.6,3.51,2,1,89,98,1,4,100.0
9,0.52,2.46,1,0,97,88,8,10,100.0
5,0.66,2.15,2,0,97,85,3,10,98.0
12,0.69,2.58,2,1,67,94,10,3,100.0
11,0.64,2.32,2,0,86,84,7,10,100.0
8,0.91,3.86,2,0,86,83,10,1,100.0
0,0.68,3.62,2,0,93,72,5,8,86.0
10,0.64,3.27,1,0,80,66,10,5,100.0
10,0.77,3.74,3,0,89,95,5,4,100.0
14,0.57,3.61,2,0,92,79,7,8,100.0
9,0.9,2.37,1,1,87,60,9,7,100.0
15,0.54,3.79,1,1,92,67,5,2,100.0
11,0.99,3.08,2,0,64,75,1,1,91.0
11,0.89,3.61,2,1,78,73,10,4,100.0
15,0.6,3.79,1,1,63,71,10,8,100.0
14,0.5,2.64,2,1,94,82,1,2,96.0
13,0.91,2.22,1,1,76,74,2,3,100.0
13,0.85,2.46,2,0,87,87,6,1,100.0
